Woche;TS;TK;OG;FD;FF
24.11.14;817969;81401;315260;590495;79181
01.12.14;868438;90606;326671;640776;99022
08.12.14;807471;93219;529944;654205;99322
15.12.14;1058473;116086;430686;768455;110083
22.12.14;550817;53964;309169;493801;62411
29.12.14;652580;57738;189700;237184;39508
05.01.15;531747;58780;326763;542386;87373
12.01.15;711211;82632;349563;634129;77676
19.01.15;714841;88137;342239;632565;90520
26.01.15;690808;88709;337061;611740;81618
02.02.15;753751;95318;362390;617432;83036
09.02.15;747232;87794;338000;616108;89212
16.02.15;743267;89581;322850;583081;78043
23.02.15;722442;93160;361433;600060;90023
02.03.15;785093;96921;352628;631971;84611
09.03.15;750084;91894;352948;622371;84995
16.03.15;849330;93994;360356;665804;84769
23.03.15;930231;124556;374173;708386;92523
30.03.15;677783;84308;336722;666324;100423
06.04.15;668342;82333;389766;518832;85976
13.04.15;697992;91461;391060;621600;94626
20.04.15;840216;100520;372198;632300;93165
27.04.15;597831;76937;356272;618820;91668
04.05.15;964015;111637;394085;678143;99677
11.05.15;650369;77083;366670;655901;98897
18.05.15;920631;118520;290759;666379;77459
25.05.15;697136;86309;385998;549870;108438
01.06.15;596358;72233;355260;598530;109550
08.06.15;766496;106524;361954;668743;94588
15.06.15;780121;100624;344465;620001;84965
22.06.15;734087;90717;332994;608011;91780
29.06.15;815154;112094;427687;662799;101631
06.07.15;828040;127364;392524;659246;93539
13.07.15;791751;112778;386983;650438;94796
20.07.15;775014;116243;362417;630388;87836
27.07.15;780296;107178;348754;636286;99244
03.08.15;737369;99751;368620;615606;92027
10.08.15;751411;108944;348101;574378;83502
17.08.15;720673;99905;321034;581918;85315
24.08.15;708052;93167;329107;600173;89020
31.08.15;734531;90792;336945;619567;81814
07.09.15;717301;94169;335287;607300;89846
14.09.15;730787;90559;333081;639176;86346
21.09.15;780051;80758;310469;667873;81035
28.09.15;703725;73734;297056;561320;86925
05.10.15;755144;80341;359970;690270;89678
12.10.15;785477;82939;306236;637174;86995
19.10.15;816488;84438;310580;646985;89324
26.10.15;735639;78991;321453;625019;84395
02.11.15;821203;85742;311655;605721;83628
09.11.15;723945;80701;332447;600350;83977
16.11.15;796769;76213;320148;615085;82472
23.11.15;833290;87928;319830;640273;88804
